timestamp,write_speed_Bps,cpu_percent,ram_percent,jetson_temp_c,gps_hz,imu_hz,ctd_hz,adcp_hz,battery_hz,sbes_hz
2026-05-02 09:57:25.981,0.00,68.50,81.40,59.84,0.00,0.00,0.00,0.00,0.00,0.00
2026-05-02 09:57:27.162,0.00,28.80,81.40,59.75,0.00,0.00,0.00,0.00,0.00,0.00
2026-05-02 09:57:27.982,2545.83,26.70,81.40,59.38,4.88,3.66,1.22,1.22,3.66,1.22
2026-05-02 09:57:28.987,2354.75,24.10,81.50,59.59,3.98,3.98,1.00,1.00,3.98,1.00
2026-05-02 09:57:29.982,2381.04,25.60,81.50,59.28,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:30.987,2355.11,22.10,81.50,59.47,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:31.983,2382.49,25.50,81.50,59.34,4.02,4.02,1.00,1.00,4.02,1.00
2026-05-02 09:57:32.987,2356.01,25.80,81.50,59.19,3.98,3.98,1.00,1.00,3.98,1.00
2026-05-02 09:57:33.983,2384.50,23.80,81.60,59.62,4.02,4.02,1.00,1.00,4.02,1.00
2026-05-02 09:57:34.988,2351.65,29.40,81.60,59.59,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:35.982,2375.23,20.90,81.60,59.38,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:36.987,2354.69,20.80,81.60,59.34,3.98,3.98,1.00,1.00,3.98,1.00
2026-05-02 09:57:37.982,2389.35,25.10,81.60,59.31,4.02,4.02,1.00,1.00,4.02,1.00
2026-05-02 09:57:38.984,2362.30,23.70,81.50,59.38,3.99,3.99,1.00,1.00,3.99,1.00
2026-05-02 09:57:39.982,2381.36,28.30,81.50,59.62,4.01,4.01,1.00,1.00,4.01,1.00
2026-05-02 09:57:40.987,2349.33,21.50,81.50,59.41,3.98,3.98,1.00,1.00,3.98,1.00
2026-05-02 09:57:41.982,2383.63,23.10,81.50,59.28,4.02,4.02,1.00,1.00,4.02,1.00
2026-05-02 09:57:42.987,2357.42,24.70,81.50,59.44,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:43.982,2402.05,34.30,81.50,59.28,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:44.987,2347.89,32.40,81.60,59.34,3.98,3.98,1.00,1.00,3.98,1.00
2026-05-02 09:57:45.982,2396.07,29.00,81.60,59.44,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:46.988,2365.41,25.00,81.60,59.34,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:47.982,2396.45,24.70,81.60,59.22,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:48.987,2383.71,25.20,81.70,59.47,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:49.982,2383.45,20.40,81.70,59.22,4.02,4.02,1.00,1.00,4.02,1.00
2026-05-02 09:57:50.987,2373.92,22.00,81.70,59.38,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:51.982,2400.52,19.70,81.70,59.31,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:52.987,2382.97,21.90,81.70,59.53,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:53.983,2411.48,34.00,81.60,59.41,4.02,4.02,1.00,1.00,4.02,1.00
2026-05-02 09:57:54.988,2379.66,27.70,81.70,59.38,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:55.982,2395.55,38.40,81.80,59.59,4.02,4.02,1.01,1.01,4.02,1.01
2026-05-02 09:57:56.988,2386.59,22.20,81.80,59.22,3.98,3.98,0.99,0.99,3.98,0.99
2026-05-02 09:57:57.982,2406.01,25.30,81.70,59.34,4.02,4.02,1.01,1.01,4.02,1.01
