[System]
Platform=SEANO USV
Start_Time=2026-05-02 08:50:16
Timezone=WIB

[Sensor]
Name=GPS

[Columns]
Timestamp(WIB)	Latitude	Longitude	Altitude

[Data]
2026-05-02 08:50:55.840	-6.8133779	107.643381	1187.5435428351093
2026-05-02 08:50:56.352	-6.8133778	107.6433809	1187.583542184099
2026-05-02 08:50:56.845	-6.8133777	107.6433807	1187.5535414733179
2026-05-02 08:50:57.353	-6.8133776	107.6433804	1187.5335407027653
2026-05-02 08:50:57.844	-6.8133776	107.64338	1187.5135404636806
2026-05-02 08:50:58.349	-6.8133773	107.6433799	1187.4835386301904
2026-05-02 08:50:58.844	-6.8133773	107.6433796	1187.433538450876
2026-05-02 08:50:59.357	-6.8133772	107.6433796	1187.3635378596366
2026-05-02 08:50:59.845	-6.8133771	107.6433796	1187.3235372683966
2026-05-02 08:51:00.354	-6.813377	107.6433795	1187.3135366173854
2026-05-02 08:51:00.842	-6.8133767	107.6433795	1187.2835348436665
2026-05-02 08:51:01.354	-6.8133764	107.6433795	1187.2635330699477
2026-05-02 08:51:01.846	-6.8133762	107.6433798	1187.213532066784
2026-05-02 08:51:02.358	-6.8133762	107.6433797	1187.1935320070122
2026-05-02 08:51:02.843	-6.8133763	107.6433793	1187.2135323591644
2026-05-02 08:51:03.354	-6.8133764	107.6433791	1187.2035328308605
2026-05-02 08:51:03.845	-6.8133764	107.6433793	1187.1835329504042
2026-05-02 08:51:04.362	-6.8133761	107.6433793	1187.1935311766854
2026-05-02 08:51:04.842	-6.8133756	107.6433791	1187.2435281009432
2026-05-02 08:51:05.357	-6.8133754	107.6433791	1187.2335269184641
2026-05-02 08:51:05.844	-6.8133754	107.6433795	1187.1935271575526
2026-05-02 08:51:06.352	-6.813375	107.6433794	1187.2135247328229
2026-05-02 08:51:06.848	-6.8133746	107.6433795	1187.2135224276376
2026-05-02 08:51:07.353	-6.8133744	107.6433796	1187.2235213049312
2026-05-02 08:51:07.843	-6.8133741	107.6433793	1187.2335193518961
2026-05-02 08:51:08.338	-6.8133737	107.6433791	1187.2335168673937
2026-05-02 08:51:08.841	-6.8133733	107.6433788	1187.233514323118
2026-05-02 08:51:09.354	-6.8133731	107.6433787	1187.2735130808665
2026-05-02 08:51:09.841	-6.8133729	107.6433785	1187.2835117788416
2026-05-02 08:51:10.352	-6.8133729	107.6433784	1187.2935117190684
2026-05-02 08:51:10.847	-6.8133726	107.6433784	1187.3635099453504
2026-05-02 08:51:11.346	-6.8133725	107.6433783	1187.353509294338
2026-05-02 08:51:11.844	-6.8133727	107.6433777	1187.2835101181763
2026-05-02 08:51:12.351	-6.8133726	107.6433778	1187.2435095867102
