timestamp,latitude,longitude,altitude
2026-04-07 16:10:25.339,-6.8127793,107.6432638,1181.8899336613104
2026-04-07 16:10:25.599,-6.8127793,107.643264,1181.8399337812752
2026-04-07 16:10:25.838,-6.8127794,107.6432639,1181.8299343124777
2026-04-07 16:10:26.099,-6.8127794,107.6432639,1181.8199343124777
2026-04-07 16:10:26.341,-6.8127795,107.6432638,1181.8099348436806
2026-04-07 16:10:26.599,-6.8127796,107.6432637,1181.8199353748835
2026-04-07 16:10:26.836,-6.8127796,107.6432636,1181.8399353149014
2026-04-07 16:10:27.097,-6.8127795,107.6432637,1181.8399347836985
2026-04-07 16:10:27.337,-6.8127795,107.6432637,1181.8399347836985
2026-04-07 16:10:27.597,-6.8127795,107.6432636,1181.8299347237157
2026-04-07 16:10:27.837,-6.8127796,107.6432636,1181.8599353149013
2026-04-07 16:10:28.098,-6.8127796,107.6432635,1181.8799352549188
2026-04-07 16:10:28.337,-6.8127796,107.6432635,1181.8799352549188
2026-04-07 16:10:28.597,-6.8127797,107.6432633,1181.8699357261391
2026-04-07 16:10:28.838,-6.8127797,107.6432631,1181.8499356061739
2026-04-07 16:10:29.096,-6.8127798,107.6432629,1181.8399360773942
2026-04-07 16:10:29.338,-6.8127799,107.6432628,1181.839936608597
2026-04-07 16:10:29.596,-6.8127799,107.6432628,1181.809936608597
2026-04-07 16:10:29.835,-6.8127799,107.6432627,1181.7799365486144
2026-04-07 16:10:30.096,-6.8127799,107.6432627,1181.7499365486144
2026-04-07 16:10:30.339,-6.8127798,107.6432628,1181.7399360174115
2026-04-07 16:10:30.598,-6.8127798,107.6432628,1181.7299360174115
2026-04-07 16:10:30.837,-6.8127798,107.6432629,1181.6799360773941
2026-04-07 16:10:31.098,-6.8127798,107.6432629,1181.6499360773942
2026-04-07 16:10:31.339,-6.8127798,107.6432628,1181.6499360174116
2026-04-07 16:10:31.595,-6.8127799,107.6432627,1181.6499365486145
