[System]
Platform=SEANO USV
Start_Time=2026-03-27 07:44:28
Timezone=WIB

[Sensor]
Name=System Metrics

[Columns]
Timestamp(WIB)	WriteSpeed(Bps)	CPU(%)	RAM(%)	GPS_Hz	IMU_Hz	CTD_Hz	ADCP_Hz	BATTERY_Hz	SBES_Hz

[Data]
2026-03-27 07:44:29.185	0.00	77.80	40.50	0.00	0.00	0.00	0.00	0.00	0.00
2026-03-27 07:44:30.333	0.00	77.00	40.80	0.00	0.00	0.00	0.00	0.00	0.00
2026-03-27 07:44:31.185	2068.43	40.70	40.60	2.35	4.70	1.17	1.17	1.17	1.17
2026-03-27 07:44:32.187	1756.55	44.50	40.70	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:33.185	1763.54	41.50	40.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:34.187	1766.36	43.20	40.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:35.185	1777.48	41.20	40.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:36.187	1768.62	40.70	40.70	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:37.185	1759.51	45.40	40.80	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:38.187	1764.49	41.40	40.70	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:39.185	1771.54	43.10	40.80	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:40.187	1750.49	41.20	40.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:41.186	1766.35	44.70	40.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:42.187	1761.91	39.30	40.40	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 07:44:43.185	1769.27	44.40	40.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:44.188	1766.84	41.80	40.40	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:45.185	1773.18	44.20	40.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:46.187	1764.35	44.20	40.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:47.185	1759.61	43.00	40.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:48.187	1766.47	42.70	40.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:49.185	1777.49	42.10	40.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:50.187	1786.28	47.10	40.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:51.185	1783.77	42.80	40.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:52.188	1741.25	46.50	40.40	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:53.185	1766.74	42.10	40.40	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:54.187	1756.61	42.10	40.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:55.185	1799.63	44.40	40.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:56.187	1722.69	41.00	40.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:57.185	1769.36	44.80	40.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:44:58.187	1764.39	41.10	40.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:44:59.185	1769.58	45.70	40.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:00.187	1818.62	42.70	40.30	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:01.185	1741.18	47.30	40.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:02.188	1771.25	42.30	40.40	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:03.185	1800.93	41.90	40.40	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:04.187	1780.11	43.20	40.70	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:05.185	1818.08	40.00	40.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:06.187	1762.04	45.10	40.90	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:07.185	1763.76	41.70	40.80	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:08.187	1799.04	43.70	40.80	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:09.185	1841.10	40.50	40.70	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:10.187	1802.52	45.80	40.70	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:11.185	1813.57	42.30	40.70	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:12.187	1769.90	41.00	40.80	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:13.185	1779.93	44.50	41.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:14.187	1794.56	40.10	40.80	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:15.185	1739.05	45.50	41.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:16.187	1772.90	39.40	40.80	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:17.185	1775.33	47.50	40.90	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:18.187	1745.00	38.60	40.80	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:19.185	1807.33	43.80	40.80	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:20.187	1730.68	44.80	40.90	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:21.185	1801.46	29.20	41.10	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:22.188	1769.09	33.60	41.20	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:23.185	1743.24	27.70	40.90	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:24.188	1721.19	28.40	41.20	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:25.185	1744.28	27.90	41.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:26.187	1728.70	28.50	41.10	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:27.185	1789.38	24.70	41.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:28.187	1718.57	29.60	41.00	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:29.186	1754.98	26.10	41.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:30.187	1723.24	26.20	41.00	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:31.185	1733.08	27.00	41.20	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:32.187	1725.18	23.30	41.00	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:33.185	1731.09	29.00	41.20	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:34.187	1722.73	27.50	41.10	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:35.185	1767.36	29.30	41.10	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:36.188	1747.50	22.90	41.00	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:37.185	1724.63	27.10	41.00	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:38.190	1752.18	28.10	41.00	1.99	3.98	1.00	1.00	1.00	1.00
2026-03-27 07:45:39.185	1731.49	38.90	41.00	2.01	4.02	1.00	1.00	1.00	1.00
2026-03-27 07:45:40.187	1740.50	43.70	41.10	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:41.185	1719.63	58.00	41.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:42.188	1697.77	39.70	41.90	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:43.185	1730.27	45.30	42.20	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:44.188	1701.91	45.60	42.30	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:45.185	1704.13	36.70	42.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:46.187	1761.90	43.50	42.10	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:47.185	1729.71	48.00	41.30	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:48.187	1714.84	43.80	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:49.185	1719.41	43.80	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:51.686	304.65	33.60	41.40	0.40	0.80	0.40	0.00	0.40	0.40
2026-03-27 07:45:52.188	8064.82	41.10	41.40	9.98	13.97	3.99	5.99	3.99	3.99
2026-03-27 07:45:53.185	1714.10	44.60	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:54.187	1722.03	40.80	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:55.185	1730.05	43.20	41.30	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:56.187	1722.55	41.70	41.30	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:57.185	1767.57	42.90	41.30	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:45:58.187	1716.63	44.10	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:45:59.185	1729.37	40.60	41.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:00.187	1722.44	43.70	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:01.185	1735.58	43.80	41.30	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:02.187	1710.55	42.80	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:03.185	1719.46	41.00	41.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:04.187	1710.72	44.40	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:05.187	1730.89	38.10	41.40	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 07:46:06.187	1709.08	28.10	41.50	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 07:46:07.185	1735.21	31.40	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:08.187	1721.00	26.70	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:09.185	1729.21	31.30	41.70	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:10.188	1722.97	30.80	41.50	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:11.185	1730.86	32.00	41.60	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:12.190	1713.81	25.90	41.40	1.99	3.98	1.00	1.00	1.00	1.00
2026-03-27 07:46:13.187	1721.96	27.20	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:14.187	1717.10	27.10	41.70	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 07:46:15.185	1713.49	26.90	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:16.188	1717.40	30.70	41.70	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:17.185	1728.45	26.90	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:18.189	1722.02	31.70	41.60	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:19.185	1713.99	33.80	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:20.187	1714.54	30.00	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:21.186	1725.91	24.60	41.50	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 07:46:22.187	1718.15	26.50	41.50	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 07:46:23.185	1731.30	27.30	41.70	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:24.187	1727.27	24.80	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:25.185	1720.97	27.80	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:26.187	1724.52	23.50	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:27.185	1731.39	27.60	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:28.187	1722.18	23.30	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:29.185	1721.72	27.10	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:30.191	1710.80	25.00	41.40	1.99	3.98	0.99	0.99	0.99	0.99
2026-03-27 07:46:31.185	1739.43	24.40	41.50	2.01	4.02	1.01	1.01	1.01	1.01
2026-03-27 07:46:32.187	1724.34	26.20	41.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:33.185	1726.08	23.40	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:34.187	1720.27	27.50	41.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:35.185	1765.13	25.80	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:36.188	1731.79	28.50	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:37.185	1728.47	23.50	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:38.187	1740.28	26.30	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:39.186	1762.97	25.00	41.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:40.187	1735.11	28.90	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:41.185	1721.55	27.20	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:42.187	1717.40	22.70	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:43.185	1758.79	27.10	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:44.188	1783.11	23.20	41.40	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:45.185	1718.67	26.90	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:46.187	1758.62	23.60	41.40	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:47.185	1747.17	27.00	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:48.191	1730.35	24.70	41.50	1.99	3.98	0.99	0.99	0.99	0.99
2026-03-27 07:46:49.185	1743.94	27.00	41.50	2.01	4.02	1.01	1.01	1.01	1.01
2026-03-27 07:46:50.188	1721.01	29.40	41.60	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:51.185	1779.52	23.70	41.40	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:52.187	1761.91	28.60	41.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:53.185	1739.65	23.90	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:54.187	1760.47	26.90	41.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:55.185	1807.67	25.00	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:56.187	1730.52	27.70	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:57.185	1771.33	25.20	41.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:46:58.187	1738.70	25.50	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:46:59.185	1759.43	26.20	41.70	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:00.187	1751.05	21.30	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:01.185	1741.12	26.20	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:02.187	1782.21	21.80	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:03.185	1741.80	25.00	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:04.187	1714.50	21.60	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:05.185	1735.56	28.20	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:06.191	1725.06	24.50	41.40	1.99	3.97	0.99	0.99	0.99	0.99
2026-03-27 07:47:07.185	1744.91	25.50	41.50	2.01	4.03	1.01	1.01	1.01	1.01
2026-03-27 07:47:08.188	1711.77	24.70	41.70	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:09.185	1720.47	22.60	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:10.187	1718.04	27.80	41.60	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:11.185	1735.70	24.80	41.40	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:12.188	1727.48	28.00	41.60	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:13.185	1736.60	23.00	41.50	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:14.187	1730.68	26.40	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:15.186	1756.39	24.60	41.50	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:16.188	1732.38	25.00	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:17.185	1758.50	26.60	41.60	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:18.187	1729.34	23.00	41.50	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 07:47:19.185	1736.73	27.60	41.60	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 07:47:20.187	1730.68	23.80	41.30	2.00	3.99	1.00	1.00	1.00	1.00
