timestamp,acc_x,acc_y,acc_z
2026-04-18 20:15:05.056,-0.1569064,-0.0882598499999988,9.83606995
2026-04-18 20:15:05.234,-0.1569064,-0.0882598499999988,9.83606995
2026-04-18 20:15:05.428,-0.1569064,-0.0882598499999988,9.83606995
2026-04-18 20:15:05.629,-0.1176798,-0.0588398999999988,9.83606995
2026-04-18 20:15:05.831,-0.1372931,-0.0784531999999988,9.8654899
2026-04-18 20:15:06.030,-0.14709975,-0.10787314999999878,9.89490985
2026-04-18 20:15:06.227,-0.14709975,-0.10787314999999878,9.89490985
2026-04-18 20:15:06.428,-0.08825985,-0.0490332499999988,9.80665
2026-04-18 20:15:06.628,-0.0980665,-0.0588398999999988,9.80665
2026-04-18 20:15:06.828,-0.14709975,-0.0980664999999988,9.8262633
2026-04-18 20:15:07.028,-0.14709975,-0.0980664999999988,9.8262633
2026-04-18 20:15:07.227,-0.1372931,-0.0686465499999988,9.87529655
2026-04-18 20:15:07.427,-0.08825985,-0.0490332499999988,9.8262633
2026-04-18 20:15:07.627,-0.0980665,-0.0882598499999988,9.8458766
2026-04-18 20:15:07.828,-0.14709975,-0.0980664999999988,9.85568325
2026-04-18 20:15:08.033,-0.1569064,-0.0588398999999988,9.8262633
2026-04-18 20:15:08.228,-0.12748645,-0.0686465499999988,9.83606995
2026-04-18 20:15:08.427,-0.12748645,-0.0686465499999988,9.83606995
2026-04-18 20:15:08.628,-0.12748645,-0.0980664999999988,9.8262633
2026-04-18 20:15:08.828,-0.14709975,-0.03922659999999879,9.8851032
2026-04-18 20:15:09.027,-0.1176798,-0.05883989999999879,9.8851032
2026-04-18 20:15:09.227,-0.10787315,-0.1078731499999988,9.8262633
2026-04-18 20:15:09.427,-0.14709975,-0.0980664999999988,9.81645665
2026-04-18 20:15:09.627,-0.14709975,-0.0686465499999988,9.8458766
2026-04-18 20:15:09.829,-0.10787315,-0.0686465499999988,9.8458766
2026-04-18 20:15:10.027,-0.10787315,-0.0686465499999988,9.8654899
2026-04-18 20:15:10.226,-0.1372931,-0.0784531999999988,9.87529655
2026-04-18 20:15:10.428,-0.12748645,-0.0882598499999988,9.83606995
2026-04-18 20:15:10.628,-0.1176798,-0.0882598499999988,9.81645665
2026-04-18 20:15:10.828,-0.1569064,-0.0882598499999988,9.85568325
2026-04-18 20:15:11.028,-0.16671305,-0.0686465499999988,9.8654899
2026-04-18 20:15:11.227,-0.0980665,-0.0588398999999988,9.8262633
2026-04-18 20:15:11.428,-0.0784532,-0.0980664999999988,9.79684335
2026-04-18 20:15:11.628,-0.12748645,-0.0882598499999988,9.83606995
2026-04-18 20:15:11.828,-0.18632635,-0.05883989999999879,9.89490985
2026-04-18 20:15:12.028,-0.14709975,-0.0784531999999988,9.85568325
2026-04-18 20:15:12.230,-0.08825985,-0.1078731499999988,9.81645665
2026-04-18 20:15:12.432,-0.0980665,-0.0882598499999988,9.8262633
2026-04-18 20:15:12.628,-0.1372931,-0.0588398999999988,9.83606995
2026-04-18 20:15:12.830,-0.1569064,-0.0490332499999988,9.83606995
2026-04-18 20:15:13.028,-0.1372931,-0.0882598499999988,9.83606995
2026-04-18 20:15:13.227,-0.10787315,-0.1274864499999988,9.83606995
2026-04-18 20:15:13.428,-0.1176798,-0.0784531999999988,9.8262633
2026-04-18 20:15:13.627,-0.1372931,-0.029419949999998793,9.8654899
2026-04-18 20:15:13.828,-0.1372931,-0.0686465499999988,9.8654899
2026-04-18 20:15:14.027,-0.12748645,-0.1176797999999988,9.81645665
2026-04-18 20:15:14.227,-0.12748645,-0.0882598499999988,9.8458766
2026-04-18 20:15:14.427,-0.1372931,-0.05883989999999879,9.8851032
2026-04-18 20:15:14.627,-0.1372931,-0.0686465499999988,9.8262633
2026-04-18 20:15:14.829,-0.10787315,-0.0980664999999988,9.80665
2026-04-18 20:15:15.027,-0.1176798,-0.0784531999999988,9.83606995
2026-04-18 20:15:15.227,-0.14709975,-0.0686465499999988,9.8654899
2026-04-18 20:15:15.427,-0.1569064,-0.0784531999999988,9.8654899
2026-04-18 20:15:15.628,-0.12748645,-0.0784531999999988,9.8458766
2026-04-18 20:15:16.027,-0.1176798,-0.0882598499999988,9.83606995
2026-04-18 20:15:16.267,0.4511059,-0.06864654999999882,9.6497436
2026-04-18 20:15:16.527,0.36284605000000003,-0.0980664999999988,9.80665
2026-04-18 20:15:16.766,-0.0588399,-0.0686465499999988,9.8458766
2026-04-18 20:15:17.029,-0.36284605000000003,-0.05883989999999879,9.9047165
2026-04-18 20:15:17.268,-0.16671305,0.1274864500000012,9.7478101
2026-04-18 20:15:17.527,-0.0980665,0.1372931000000012,9.7478101
2026-04-18 20:15:17.769,-0.24516625,-0.17651969999999878,9.87529655
2026-04-18 20:15:18.026,-0.26477955,-0.3236194499999988,9.8458766
2026-04-18 20:15:18.227,-0.26477955,-0.3236194499999988,9.8458766
2026-04-18 20:15:18.429,-0.26477955,-0.3236194499999988,9.8458766
2026-04-18 20:15:18.828,-0.14709975,-0.1372930999999988,9.75761675
2026-04-18 20:15:19.028,-0.2353596,-0.3040061499999988,9.91452315
2026-04-18 20:15:19.227,-0.26477955,-0.20593964999999878,9.8458766
2026-04-18 20:15:19.428,-0.2353596,-0.1470997499999988,9.7870367
2026-04-18 20:15:19.627,-0.22555295,-0.21574629999999878,9.87529655
2026-04-18 20:15:19.828,-0.20593965,-0.21574629999999878,9.8262633
2026-04-18 20:15:20.025,-0.22555295,-0.1765196999999988,9.7870367
2026-04-18 20:15:20.229,-0.2549729,-0.1274864499999988,9.8851032
2026-04-18 20:15:20.429,-0.2157463,-0.1372930999999988,9.87529655
2026-04-18 20:15:20.628,-0.2157463,-0.1372930999999988,9.87529655
2026-04-18 20:15:20.828,-0.2157463,-0.1372930999999988,9.87529655
2026-04-18 20:15:21.029,-0.2549729,-0.0980664999999988,9.8654899
2026-04-18 20:15:21.228,-0.28439285000000003,-0.0980664999999988,9.79684335
2026-04-18 20:15:21.427,-0.2549729,-0.1176797999999988,9.8654899
2026-04-18 20:15:21.629,-0.16671305,-0.1372930999999988,9.80665
2026-04-18 20:15:21.827,-0.20593965,-0.1176797999999988,9.7870367
2026-04-18 20:15:22.028,-0.2745862,-0.15690639999999878,9.9243298
2026-04-18 20:15:22.227,-0.2745862,-0.15690639999999878,9.9243298
2026-04-18 20:15:22.427,-0.2745862,-0.15690639999999878,9.9243298
2026-04-18 20:15:22.628,0.26477955,-0.009806649999998796,9.83606995
2026-04-18 20:15:22.827,0.40207265000000003,-0.019613299999998814,9.6889702
2026-04-18 20:15:23.025,0.196133,1.202169221539125e-15,9.81645665
2026-04-18 20:15:23.227,-0.12748645,-0.03922659999999878,9.9439431
2026-04-18 20:15:23.426,-0.00980665,-0.06864654999999878,9.9243298
2026-04-18 20:15:23.628,0.1765197,-0.10787314999999882,9.6889702
2026-04-18 20:15:23.829,0.2157463,-0.0980664999999988,9.81645665
2026-04-18 20:15:24.029,0.0588399,-0.09806649999999878,9.89490985
2026-04-18 20:15:24.228,0.0,-0.1274864499999988,9.8654899
2026-04-18 20:15:24.428,0.0588399,-0.1176797999999988,9.85568325
2026-04-18 20:15:24.630,0.0980665,-0.1372930999999988,9.8458766
2026-04-18 20:15:24.829,0.0392266,-0.1667130499999988,9.80665
2026-04-18 20:15:25.029,0.0392266,-0.1667130499999988,9.80665
2026-04-18 20:15:25.228,-0.196133,-0.1078731499999988,9.81645665
2026-04-18 20:15:25.427,-0.196133,-0.1078731499999988,9.81645665
2026-04-18 20:15:25.627,-0.51975245,-0.3628460499999988,9.8654899
2026-04-18 20:15:25.827,-0.38245935,-0.2647795499999988,9.79684335
2026-04-18 20:15:26.028,-0.2549729,-0.16671304999999878,9.8458766
2026-04-18 20:15:26.233,-0.26477955,-0.20593964999999878,9.8262633
2026-04-18 20:15:26.428,-0.3138128,-0.20593964999999878,9.8262633
2026-04-18 20:15:26.627,-0.30400615,-0.15690639999999878,9.91452315
2026-04-18 20:15:26.827,-0.2157463,0.029419950000001208,9.85568325
2026-04-18 20:15:27.027,-0.14709975,1.1985663167792674e-15,9.7870367
2026-04-18 20:15:27.226,-0.26477955,-0.2059396499999988,9.80665
2026-04-18 20:15:27.428,-0.2157463,-0.2549728999999988,9.89490985
2026-04-18 20:15:27.630,-0.2549729,-0.1274864499999988,9.85568325
2026-04-18 20:15:27.827,-0.2157463,-0.019613299999998786,9.9047165
2026-04-18 20:15:28.026,-0.20593965,-0.2647795499999988,9.80665
2026-04-18 20:15:28.226,-0.1569064,-0.1470997499999988,9.80665
2026-04-18 20:15:28.628,-0.1372931,-0.0392265999999988,9.8262633
2026-04-18 20:15:28.828,-0.16671305,-0.1078731499999988,9.80665
2026-04-18 20:15:29.027,-0.1765197,-0.17651969999999878,9.87529655
2026-04-18 20:15:29.228,-0.14709975,-0.029419949999998793,9.8458766
2026-04-18 20:15:29.428,-0.12748645,1.202169221539125e-15,9.81645665
